Salmon Soup, Dinner
https://www.themediterraneandish.com/salmon-soup/
5 cups, chicken broth, Dry Boxes/Cans
1 lb, gold potatoes, Produce
1, carrots, Produce
1 tsp, oregano, Spices
3/4 tsp, ground coriander, Spices
1/2 tsp, ground cumin, Spices
pinch, Kosher salt, Baking
pinch, black pepper, Spices
1 lb, salmon, Meats/Deli/Seafood
Zest and juice of 1, lemon, Produce
1 Tbsp, Extra virgin olive oil, Dry Boxes/Cans
4, green onion, Produce
1, green bell pepper, Produce
4, garlic cloves, Produce
1 oz, fresh dill, Produce
